number,name,image,theme,subtheme,year,rating,owner,want_it,pieces,minifigs,us_price,eu_price
10251,Brick Bank,https://images.brickset.com/sets/small/10251-1.jpg,Advanced Models,Modular Buildings,2016,4.7,11423,5203,2380,5,169.99,149.99
10252,Volkswagen Beetle,https://images.brickset.com/sets/small/10252-1.jpg,Advanced Models,Vehicles,2016,5.0,6986,2544,1167,,99.99,89.99
10253,Big Ben,https://images.brickset.com/sets/small/10253-1.jpg,Advanced Models,Buildings,2016,5.0,3738,3162,4163,,249.99,219.99
10254,Winter Holiday Train,https://images.brickset.com/sets/small/10254-1.jpg,Advanced Models,Winter Village,2016,4.7,8328,2035,734,5,99.99,89.99
10654,XL Creative Brick Box,https://images.brickset.com/sets/small/10654-1.jpg,Classic,Basic Set,2016,,590,224,1600,,,59.99
10702,Creative Building Set,https://images.brickset.com/sets/small/10702-1.jpg,Classic,,2016,4.0,1111,274,583,,29.99,24.99
10705,Creative Building Basket,https://images.brickset.com/sets/small/10705-1.jpg,Classic,,2016,,440,227,1000,,59.99,39.99
10720,Police Helicopter Chase,https://images.brickset.com/sets/small/10720-1.jpg,Juniors,City,2016,,894,198,63,2,9.99,9.99
10721,Iron Man vs. Loki,https://images.brickset.com/sets/small/10721-1.jpg,Juniors,Marvel Super Heroes,2016,4.7,1884,440,66,2,12.99,12.99
10722,Snake Showdown,https://images.brickset.com/sets/small/10722-1.jpg,Juniors,Ninjago,2016,4.0,677,176,92,2,14.99,14.99
10723,Ariel's Dolphin Carriage,https://images.brickset.com/sets/small/10723-1.jpg,Juniors,Disney Princess,2016,,787,228,70,1,14.99,13.49
10724,Batman & Superman vs. Lex Luthor,https://images.brickset.com/sets/small/10724-1.jpg,Juniors,DC Comics Super Heroes,2016,5.0,1470,442,164,3,19.99,19.99
10725,Lost Temple,https://images.brickset.com/sets/small/10725-1.jpg,Juniors,Ninjago,2016,,440,201,172,3,29.99,34.99
10726,Stephanie's Horse Carriage,https://images.brickset.com/sets/small/10726-1.jpg,Juniors,Friends,2016,,437,118,58,1,12.99,9.99
10727,Emma's Ice Cream Truck,https://images.brickset.com/sets/small/10727-1.jpg,Juniors,Friends,2016,,566,243,136,2,19.99,19.99
10728,Mia's Vet Clinic,https://images.brickset.com/sets/small/10728-1.jpg,Juniors,Friends,2016,,377,167,173,2,29.99,29.99
10729,Cinderella's Carriage,https://images.brickset.com/sets/small/10729-1.jpg,Juniors,Disney Princess,2016,4.0,632,235,116,2,24.99,24.99
10801,Baby Animals,https://images.brickset.com/sets/small/10801-1.jpg,Duplo,,2016,,653,76,13,,9.99,9.99
10802,Savanna,https://images.brickset.com/sets/small/10802-1.jpg,Duplo,,2016,,249,92,18,1,19.99,19.99
10803,Arctic,https://images.brickset.com/sets/small/10803-1.jpg,Duplo,,2016,,614,171,40,2,29.99,29.99
10804,Jungle,https://images.brickset.com/sets/small/10804-1.jpg,Duplo,,2016,,255,119,86,2,49.99,49.99
10805,Around the World,https://images.brickset.com/sets/small/10805-1.jpg,Duplo,,2016,,383,175,163,5,99.99,99.99
10806,Horses,https://images.brickset.com/sets/small/10806-1.jpg,Duplo,,2016,,141,64,20,1,14.99,14.99
10807,Horse Trailer,https://images.brickset.com/sets/small/10807-1.jpg,Duplo,,2016,,155,58,15,2,19.99,19.99
